fico, loanRateDiff, loanTimeRemaining, isInCurrentOrder, noFee, loanType, purpose, loanAmountRequested, title, loanAmtRemaining, primeUnfundedAmount, alreadyInvestedIn, loanGrade, searchrank, loan_status, hasCosigner, isWholeLoan, primeFractions, wholeLoanTimeRemaining, alreadySelected, loanUnfundedAmount, loanAmt, loanLength, loanGUID, amountToInvest, primeTotalInvestment, loanRate, primeMarkedInvestment, 
665-669, .00, 774636818, false, 0, Personal, debt_consolidation, 20000, Debt consolidation, 7550, 0, false, C4, -0.9961743, INFUNDING, false, 0, 0, -381235182, false, 7550, 20000, 60, 70023559, 0, 0, 13.99, 0, 
665-669, .00, 790522818, false, 0, Personal, debt_consolidation, 24000, Debt consolidation, 6825, 0, false, E1, -0.99659324, INFUNDING, false, 0, 0, -338035182, false, 6825, 24000, 60, 70181999, 0, 0, 18.99, 0, 
745-749, .00, 682618818, false, 0, Personal, debt_consolidation, 30000, Debt consolidation, 13625, 0, false, B3, -0.99681205, INFUNDING, false, 0, 0, -482035182, false, 13625, 30000, 60, 70220854, 0, 0, 9.80, 0, 
730-734, .00, 835055818, false, 0, Personal, debt_consolidation, 30000, 4925, 0, false, C1, -0.9969399, INFUNDING, false, 0, 0, -323635182, false, 4925, 30000, 60, 69980054, 0, 0, 11.99, 0, 
690-694, .00, 858952818, false, 0, Personal, debt_consolidation, 11800, Debt consolidation, 4225, 0, false, F2, -0.9980547, INFUNDING, false, 0, 0, -294835182, false, 4200, 11800, 60, 70062512, 0, 0, 23.13, 0, 
675-679, .00, 770573818, false, 0, Personal, debt_consolidation, 24000, Debt consolidation, 8225, 0, false, D2, -0.99807096, INFUNDING, false, 0, 0, -381235182, false, 8225, 24000, 60, 70152299, 0, 0, 16.59, 0, 
710-714, .00, 867866818, false, 0, Personal, debt_consolidation, 12000, Debt consolidation, 3975, 0, false, B2, -0.9985281, INFUNDING, false, 0, 0, -294835182, false, 3975, 12000, 60, 69922257, 0, 0, 9.17, 0, 
705-709, .00, 861586818, false, 0, Personal, credit_card, 16800, Credit card refinancing, 4500, 0, false, B1, -0.9994489, INFUNDING, false, 0, 0, -294835182, false, 4500, 16800, 60, 69979702, 0, 0, 8.49, 0, 
685-689, .00, 865007818, false, 0, Personal, debt_consolidation, 12000, Debt consolidation, 4500, 0, false, F3, -0.9996515, INFUNDING, false, 0, 0, -294835182, false, 4500, 12000, 60, 70062592, 0, 0, 24.24, 0, 
700-704, .00, 783571818, false, 0, Personal, debt_consolidation, 20000, Debt consolidation, 8650, 0, false, C5, -0.999747, INFUNDING, false, 0, 0, -381235182, false, 8650, 20000, 60, 70081737, 0, 0, 14.85, 0, 
665-669, .00, 776871818, false, 0, Personal, debt_consolidation, 21000, Debt consolidation, 9100, 0, false, C2, -0.9997634, INFUNDING, false, 0, 0, -381235182, false, 9100, 21000, 60, 70081521, 0, 0, 12.88, 0, 
660-664, .00, 783798818, false, 0, Personal, debt_consolidation, 18000, Debt consolidation, 9050, 0, false, C1, -0.999888, INFUNDING, false, 0, 0, -381235182, false, 9050, 18000, 60, 69990652, 0, 0, 11.99, 0, 
705-709, .00, 822117818, false, 0, Personal, debt_consolidation, 35000, Debt consolidation, 6900, 0, false, E2, -0.9999082, INFUNDING, false, 0, 0, -338035182, false, 6900, 35000, 60, 70081894, 0, 0, 19.48, 0, 
675-679, .00, 862610818, false, 0, Personal, debt_consolidation, 12000, 4975, 0, false, E1, -0.99991256, INFUNDING, false, 0, 0, -294835182, false, 4975, 12000, 60, 69992549, 0, 0, 18.99, 0, 
690-694, .00, 788010818, false, 0, Personal, debt_consolidation, 18500, Debt consolidation, 9025, 0, false, C4, -0.99993247, INFUNDING, false, 0, 0, -338035182, false, 9025, 18500, 60, 70052859, 0, 0, 13.99, 0, 
670-674, .00, 780954818, false, 0, Personal, debt_consolidation, 21300, Debt consolidation, 9575, 0, false, C3, -0.99994385, INFUNDING, false, 0, 0, -381235182, false, 9575, 21300, 60, 70011729, 0, 0, 13.44, 0, 
685-689, .00, 868751818, false, 0, Personal, home_improvement, 12000, Home improvement, 4850, 0, false, C1, -0.999949, INFUNDING, false, 0, 0, -294835182, false, 4850, 12000, 60, 69982800, 0, 0, 11.99, 0, 
705-709, .00, 872559818, false, 0, Personal, debt_consolidation, 15000, Debt consolidation, 4925, 0, false, F1, -0.9999816, INFUNDING, false, 0, 0, -251635182, false, 4925, 15000, 60, 70112782, 0, 0, 22.45, 0, 
745-749, .00, 1004320818, false, 0, Personal, credit_card, 28000, Credit card refinancing, 1200, 0, false, A1, -0.9999871, INFUNDING, false, 0, 0, -150835182, false, 1150, 28000, 36, 69564051, 0, 0, 5.32, 0, 
725-729, .00, 847083818, false, 0, Personal, debt_consolidation, 35000, Debt consolidation, 6300, 0, false, B4, -0.99999034, INFUNDING, false, 0, 0, -309235182, false, 6300, 35000, 60, 70212247, 0, 0, 10.78, 0, 
685-689, .00, 900231818, false, 0, Personal, other, 12000, Other, 3925, 0, false, D2, -0.99999034, INFUNDING, false, 0, 0, -294835182, false, 3925, 12000, 60, 69968984, 0, 0, 16.59, 0, 
725-729, .00, 857334818, false, 0, Personal, debt_consolidation, 17000, Debt consolidation, 5800, 0, false, A5, -0.999991, INFUNDING, false, 0, 0, -294835182, false, 5800, 17000, 60, 70132468, 0, 0, 7.91, 0, 
695-699, .00, 781341818, false, 0, Personal, debt_consolidation, 24000, Debt consolidation, 10650, 0, false, C2, -0.9999949, INFUNDING, false, 0, 0, -381235182, false, 10650, 24000, 60, 68958288, 0, 0, 12.88, 0, 
690-694, .00, 775493818, false, 0, Personal, debt_consolidation, 35000, Debt consolidation, 11200, 0, false, E2, -0.99999595, INFUNDING, false, 0, 0, -381235182, false, 11200, 35000, 60, 70022006, 0, 0, 19.48, 0, 
725-729, .00, 874612818, false, 0, Personal, debt_consolidation, 24000, Debt consolidation, 5400, 0, false, C1, -0.99999875, INFUNDING, false, 0, 0, -251635182, false, 5400, 24000, 60, 69615125, 0, 0, 11.99, 0, 
690-694, .00, 818188818, false, 0, Personal, credit_card, 22300, Credit card refinancing, 8775, 0, false, D2, -0.9999993, INFUNDING, false, 0, 0, -338035182, false, 8775, 22300, 60, 69082706, 0, 0, 16.59, 0, 
720-724, .00, 792247818, false, 0, Personal, debt_consolidation, 23925, Debt consolidation, 10775, 0, false, E3, -0.9999995, INFUNDING, false, 0, 0, -338035182, false, 10775, 23925, 60, 70101503, 0, 0, 19.89, 0, 
725-729, .00, 789432818, false, 0, Personal, debt_consolidation, 21000, 11400, 0, false, B5, -0.9999998, INFUNDING, false, 0, 0, -338035182, false, 11400, 21000, 60, 69979909, 0, 0, 11.48, 0, 
700-704, .00, 850519818, false, 0, Personal, debt_consolidation, 25000, Debt consolidation, 7150, 0, false, D2, -0.9999999, INFUNDING, false, 0, 0, -309235182, false, 7150, 25000, 60, 70062325, 0, 0, 16.59, 0, 
670-674, .00, 859352818, false, 0, Personal, debt_consolidation, 11575, Debt consolidation, 6700, 0, false, E3, -0.9999999, INFUNDING, false, 0, 0, -294835182, false, 6700, 11575, 60, 70172560, 0, 0, 19.89, 0, 
715-719, .00, 860667818, false, 0, Personal, credit_card, 19200, Credit card refinancing, 6725, 0, false, B3, -0.99999994, INFUNDING, false, 0, 0, -338035182, false, 6725, 19200, 60, 70042475, 0, 0, 9.80, 0, 
685-689, .00, 845423818, false, 0, Personal, credit_card, 24000, Credit card refinancing, 7700, 0, false, F3, -0.99999994, INFUNDING, false, 0, 0, -309235182, false, 7700, 24000, 60, 70023339, 0, 0, 24.24, 0, 
680-684, .00, 782144817, false, 0, Personal, home_improvement, 22150, Home improvement, 12550, 0, false, D4, -0.99999994, INFUNDING, false, 0, 0, -381235183, false, 12550, 22150, 60, 70171833, 0, 0, 17.97, 0, 
675-679, .00, 868137817, false, 0, Personal, debt_consolidation, 15000, 6450, 0, false, E3, -1, INFUNDING, false, 0, 0, -294835183, false, 6450, 15000, 60, 70244219, 0, 0, 19.89, 0, 
705-709, .00, 863940817, false, 0, Personal, credit_card, 25000, 6725, 0, false, E3, -1, INFUNDING, false, 0, 0, -338035183, false, 6700, 25000, 60, 69086456, 0, 0, 19.89, 0, 
665-669, .00, 841611817, false, 0, Personal, debt_consolidation, 30625, 8125, 0, false, F5, -1, INFUNDING, false, 0, 0, -323635183, false, 8125, 30625, 60, 69977094, 0, 0, 26.06, 0, 
